state,year,bmcode,births_age1524,births_age2534,births_age3544,births_nohs,births_hs,births_somecoll,births_coll,births_married,births_unmarried,births_medicaid,births_nhblack,births_nhwhite,births_hisp,births_total,births_otherraceeth,births_nonmedicaid,pop_total,pop_nhblack,pop_nhwhite,pop_hisp,pop_otherraceeth,pop_medicaid,pop_nonmedicaid,pop_nohs,pop_hs,pop_somecoll,pop_coll,pop_married,pop_unmarried,pop_age1524,pop_age2534,pop_age3544,policy_on,exposed_births,start_date,end_date,time,dobbs_code
Alabama,2016,1,3400,5094,1015,1549,2938,2851,2152,5285,4224,4947,2837,5627,729,9509,316,4562,952636,292788,579530,43456,36862,647675,304961,170913,283848,285480,212395,370777,581859,324063,323083,305490,0,0,2016-01-01,2016-02-29,2016-01-01,1
Alabama,2016,2,3189,5098,1047,1425,2845,2751,2298,5363,3971,4528,2727,5562,733,9334,312,4806,952636,292788,579530,43456,36862,647675,304961,170913,283848,285480,212395,370777,581859,324063,323083,305490,0,0,2016-03-01,2016-04-30,2016-03-01,1
Alabama,2016,3,3291,5425,1116,1500,2877,2941,2491,5545,4287,4814,2841,5978,725,9832,288,5018,952636,292788,579530,43456,36862,647675,304961,170913,283848,285480,212395,370777,581859,324063,323083,305490,0,0,2016-05-01,2016-06-30,2016-05-01,1
Alabama,2016,4,3613,5644,1096,1594,3224,3097,2419,5697,4656,5172,3071,6113,805,10353,364,5181,952636,292788,579530,43456,36862,647675,304961,170913,283848,285480,212395,370777,581859,324063,323083,305490,0,0,2016-07-01,2016-08-31,2016-07-01,1
Alabama,2016,5,3528,5542,1133,1611,3147,3030,2402,5541,4662,5249,3043,6005,795,10203,360,4954,952636,292788,579530,43456,36862,647675,304961,170913,283848,285480,212395,370777,581859,324063,323083,305490,0,0,2016-09-01,2016-10-31,2016-09-01,1
Alabama,2016,6,3525,5286,1022,1600,3024,2978,2199,5238,4595,5094,3142,5578,781,9833,332,4739,952636,292788,579530,43456,36862,647675,304961,170913,283848,285480,212395,370777,581859,324063,323083,305490,0,0,2016-11-01,2016-12-31,2016-11-01,1
Alabama,2017,1,3326,5061,1033,1412,2923,2866,2195,4875,4544,4766,2897,5441,759,9420,323,4654,949999,292053,576145,44233,37568,643170,306829,173538,299859,268193,208409,351344,598655,319854,325345,304800,0,0,2017-01-01,2017-02-28,2017-01-01,1
Alabama,2017,2,3051,5109,1013,1317,2756,2786,2298,5024,4149,4394,2692,5468,699,9173,314,4779,949999,292053,576145,44233,37568,643170,306829,173538,299859,268193,208409,351344,598655,319854,325345,304800,0,0,2017-03-01,2017-04-30,2017-03-01,1
Alabama,2017,3,3252,5205,1111,1328,2967,2971,2280,5246,4319,4623,2790,5727,721,9568,330,4945,949999,292053,576145,44233,37568,643170,306829,173538,299859,268193,208409,351344,598655,319854,325345,304800,0,0,2017-05-01,2017-06-30,2017-05-01,1
Alabama,2017,4,3615,5851,1111,1540,3339,3244,2427,5582,4994,5248,3247,6113,852,10577,365,5329,949999,292053,576145,44233,37568,643170,306829,173538,299859,268193,208409,351344,598655,319854,325345,304800,0,0,2017-07-01,2017-08-31,2017-07-01,1
Alabama,2017,5,3473,5634,1148,1578,3243,3011,2389,5300,4954,5077,3165,5955,772,10255,363,5178,949999,292053,576145,44233,37568,643170,306829,173538,299859,268193,208409,351344,598655,319854,325345,304800,0,0,2017-09-01,2017-10-31,2017-09-01,1
Alabama,2017,6,3304,5339,1207,1393,3126,3002,2305,5109,4741,4966,3140,5624,730,9850,356,4884,949999,292053,576145,44233,37568,643170,306829,173538,299859,268193,208409,351344,598655,319854,325345,304800,0,0,2017-11-01,2017-12-31,2017-11-01,1
Alabama,2018,1,3197,4944,1083,1290,2950,2852,2114,4846,4378,4597,2891,5296,727,9224,310,4627,948960,291203,574327,45424,38006,643891,305069,157782,298852,273018,219308,369436,579524,317533,326160,305267,0,0,2018-01-01,2018-02-28,2018-01-01,1
Alabama,2018,2,3005,5012,1107,1220,2827,2771,2297,4930,4193,4479,2705,5383,713,9124,323,4645,948960,291203,574327,45424,38006,643891,305069,157782,298852,273018,219308,369436,579524,317533,326160,305267,0,0,2018-03-01,2018-04-30,2018-03-01,1
Alabama,2018,3,3151,5347,1043,1265,3090,2846,2316,5179,4362,4605,2841,5684,685,9541,331,4936,948960,291203,574327,45424,38006,643891,305069,157782,298852,273018,219308,369436,579524,317533,326160,305267,0,0,2018-05-01,2018-06-30,2018-05-01,1
